period,respondent,temp,respondent-name,fueltype,fuel,AvGen,units
2/12/2021,ERCO,25,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"6,456",megawatthours
2/13/2021,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"6,762",megawatthours
2/14/2021,ERCO,18,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"6,333",megawatthours
2/15/2021,ERCO,10,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"20,134",megawatthours
2/16/2021,ERCO,7,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"13,403",megawatthours
2/17/2021,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"23,100",megawatthours
12/22/2022,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"22,039",megawatthours
12/23/2022,ERCO,10,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"57,605",megawatthours
12/24/2022,ERCO,21,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"68,043",megawatthours
12/25/2022,ERCO,23,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"47,816",megawatthours
12/26/2022,ERCO,30,"Electric Reliability Council of Texas, Inc.",SUN,Solar,"32,116",megawatthours
